"CIUO88_AC","CIUO88OIT","CNO70","SENA2003"
" 1329 ",NA,NA," 0212 "
" 1329 ",NA,NA," 4121 "
" 1329 ",NA,NA," 1329 "
" 1411 ","1239"," 30010 "," 0013 "
" 1411 ",NA,NA," 0821 "
" 1411 ",NA,NA," 0822 "
" 1412 ","3411"," 30010 "," 3412 "
" 1412 ",NA," 33215 "," 1121 "
" 1412 ",NA," 30020 "," 1211 "
" 1412 ",NA," 33240 "," 1212 "
" 1412 ",NA," 30030 "," 1221 "
" 1412 ",NA," 33220 "," 6212 "
" 1412 ",NA," 30040 "," 6223 "
" 1412 ",NA," 33225 ",NA
" 1412 ",NA," 30050 ",NA
" 1412 ",NA," 33230 ",NA
" 1412 ",NA," 30090 ",NA
" 1412 ",NA," 33235 ",NA
" 1412 ",NA," 31050 ",NA
" 1412 ",NA," 33240 ",NA
" 1412 ",NA," 31060 ",NA
" 1413 ","3415"," 42120 "," 5220 "
" 1413 ",NA," 42190 "," 6211 "
" 1413 ",NA," 42140 "," 6212 "
" 1413 ",NA," 42210 "," 1413 "
" 1413 ",NA," 42150 ",NA
" 1414 ","2451",NA," 3132 "
" 1414 ",NA,NA," 1211 "
" 1414 ",NA,NA," 5125 "
" 1414 ",NA,NA," 4112 "
" 1414 ",NA,NA," 1213 "
" 1415 ","4131"," 30010 "," 1215 "
" 1415 ",NA," 39220 "," 6212 "
" 1415 ",NA," 39140 ",NA
" 1416 ","3121",NA," 2145 "
" 1416 ",NA,NA," 4175 "
" 1419 ","1319",NA," 1121 "
" 1419 ",NA,NA," 4173 "
" 1419 ",NA,NA," 4211 "
" 1421 ","7111"," 70010 "," 7211 "
" 1421 ",NA,NA," 6223 "
" 1421 ",NA,NA," 1221 "
" 1422 ","<NA>"," 60040 "," 7221 "
" 1422 ",NA," 60050 "," 7231 "
" 1422 ",NA," 63220 "," 7222 "
" 1422 ",NA," 70010 "," 7233 "
" 1422 ",NA,NA," 7223 "
" 1422 ",NA,NA," 7334 "
" 1423 ","7111"," 70015 "," 7211 "
" 1423 ",NA," 70025 "," 9211 "
" 1423 ",NA,NA," 7211 "
" 1423 ",NA,NA," 9212 "
" 1423 ",NA,NA," 1423 "
" 1424 ","<NA>"," 70010 "," 8214 "
" 1424 ",NA," 70065 "," 9221 "
" 1424 ",NA," 70020 "," 8215 "
" 1424 ",NA," 70070 "," 9222 "
" 1424 ",NA," 70025 "," 9211 "
" 1424 ",NA," 70075 "," 9223 "
" 1424 ",NA," 70030 "," 9212 "
" 1424 ",NA," 70080 "," 9224 "
" 1424 ",NA," 70035 "," 9213 "
" 1424 ",NA," 70085 "," 9225 "
" 1424 ",NA," 70040 "," 9214 "
" 1424 ",NA," 70088 "," 9226 "
" 1424 ",NA," 70050 "," 9215 "
" 1424 ",NA," 70090 "," 9227 "
" 1424 ",NA," 70060 "," 9216 "
" 1424 ",NA,NA," 9228 "
" 1425 ","<NA>"," 70055 "," 7211 "
" 1425 ",NA," 95105 "," 8217 "
" 1425 ",NA," 95910 "," 8213 "
" 1425 ",NA,NA," 8218 "
" 1425 ",NA,NA," 1425 "
" 1426 ","7422"," 84505 "," 2274 "
" 1426 ",NA,NA," 8216 "
" 1426 ",NA,NA," 8393 "
" 1426 ",NA,NA," 1426 "
" 1427 ","<NA>"," 19930 "," 1211 "
" 1427 ",NA," 52090 "," 6214 "
" 1427 ",NA," 52030 "," 3151 "
" 1427 ",NA," 53220 "," 6241 "
" 1427 ",NA," 52040 "," 6213 "
" 1427 ",NA," 54060 "," 6353 "
" 1427 ",NA," 52060 "," 1427 "
" 1427 ",NA," 70045 ",NA
" 1428 ","<NA>"," 35935 "," 1214 "
" 1428 ",NA,NA," 8212 "
" 1428 ",NA,NA," 8221 "
" 1428 ",NA,NA," 8222 "
" 1429 ","<NA>"," 52010 "," 3151 "
" 2111 ","1429"," 59925 "," 6343 "
" 2111 ",NA,NA," 8218 "
" 2112 ","2111"," 01210 "," 2111 "
" 2112 ",NA," 01270 "," 2114 "
" 2112 ",NA," 01220 ",NA
" 2112 ",NA," 01280 ",NA
" 2112 ",NA," 01230 ",NA
" 2112 ",NA," 01290 ",NA
" 2112 ",NA," 01350 ",NA
" 2112 ",NA," 01390 ",NA
" 2113 ","2114"," 01340 "," 2114 "
" 2114 ","2113"," 01110 "," 2112 "
" 2114 ",NA," 01150 "," 2121 "
" 2114 ",NA," 01120 ",NA
" 2114 ",NA," 01190 ",NA
" 2114 ",NA," 01130 ",NA
" 2114 ",NA," 01390 ",NA
" 2114 ",NA," 05270 ",NA
" 2121 ","2114"," 01322 "," 2113 "
" 2121 ",NA," 01390 ",NA
" 2121 ",NA," 01330 ",NA
" 2122 ","2121"," 08220 "," 2161 "
" 2122 ",NA," 08240 ",NA
" 2122 ",NA," 08230 ",NA
" 2122 ",NA," 08250 ",NA
" 2130 ","2122"," 08110 "," 2161 "
" 2130 ",NA," 08130 ",NA
" 2130 ",NA," 08120 ",NA
" 2141 ","2131"," 02390 "," 2145 "
" 2141 ",NA," 08420 "," 2162 "
" 2141 ",NA," 08240 ",NA
" 2142 ","2141"," 02120 "," 2151 "
" 2142 ",NA," 02140 "," 2152 "
" 2142 ",NA," 02130 ",NA
" 2143 ","2141"," 02210 "," 2131 "
" 2143 ",NA," 02250 "," 2146 "
" 2143 ",NA," 02220 ",NA
" 2143 ",NA," 02255 ",NA
" 2143 ",NA," 02230 ",NA
" 2143 ",NA," 02260 ",NA
" 2143 ",NA," 02290 ",NA
" 2143 ",NA," 02950 ",NA
" 2144 ","2143"," 02305 "," 2133 "
" 2144 ",NA," 02330 "," 2134 "
" 2144 ",NA," 02310 ",NA
" 2144 ",NA," 02340 ",NA
" 2144 ",NA," 02320 ",NA
" 2144 ",NA," 02390 ",NA
" 2145 ","2145"," 02410 "," 2132 "
" 2145 ",NA," 02460 ",NA
" 2145 ",NA," 02420 ",NA
" 2145 ",NA," 02470 ",NA
" 2145 ",NA," 02480 ",NA
" 2145 ",NA," 02485 ",NA
" 2145 ",NA," 02490 ",NA
" 2146 ","2149"," 02810 "," 2141 "
" 2146 ",NA," 02840 ",NA
" 2146 ",NA," 02820 ",NA
" 2146 ",NA," 02890 ",NA
" 2147 ","2146"," 02510 "," 2135 "
" 2147 ",NA," 02520 "," 2146 "
" 2147 ",NA," 02590 ",NA
" 2148 ","2147"," 02620 "," 2142 "
" 2148 ",NA," 02720 "," 2143 "
" 2148 ",NA," 02630 "," 2144 "
" 2148 ",NA," 02730 ",NA
" 2148 ",NA," 02690 ",NA
" 2148 ",NA," 02740 ",NA
" 2148 ",NA," 02710 ",NA
" 2148 ",NA," 02790 ",NA
" 2149 ","2148",NA," 2153 "
" 2211 ","2149"," 02390 "," 2133 "
" 2211 ",NA," 02960 "," 2251 "
" 2211 ",NA," 02450 "," 2146 "
" 2211 ",NA," 02990 ",NA
" 2211 ",NA," 02930 ",NA
" 2211 ",NA," 16240 ",NA
" 2212 ","2211"," 05110 "," 2111 "
" 2212 ",NA," 05190 "," 3114 "
" 2212 ",NA," 05120 "," 2121 "
" 2212 ",NA," 05250 ",NA
" 2212 ",NA," 05130 ",NA
" 2212 ",NA," 05290 ",NA
" 2213 ","2213"," 05280 "," 2122 "
" 2213 ",NA," 05340 "," 2123 "
" 2213 ",NA," 05310 ",NA
" 2213 ",NA," 05350 ",NA
" 2213 ",NA," 05320 ",NA
" 2213 ",NA," 05360 ",NA
" 2213 ",NA," 05390 ",NA
" 2221 ","2221"," 06105 "," 3111 "
" 2221 ",NA," 06160 "," 3112 "
" 2221 ",NA," 06110 ",NA
" 2221 ",NA," 06165 ",NA
" 2221 ",NA," 06120 ",NA
" 2221 ",NA," 06170 ",NA
" 2221 ",NA," 06175 ",NA
" 2221 ",NA," 06180 ",NA
" 2221 ",NA," 06190 ",NA
" 2222 ","2222"," 06310 "," 3113 "
" 2222 ",NA," 06330 ",NA
" 2222 ",NA," 06320 ",NA
" 2222 ",NA," 07990 ",NA
" 2223 ","2223"," 06510 "," 3114 "
" 2223 ",NA," 06590 ",NA
" 2223 ",NA," 06520 ",NA
" 2224 ","3224"," 07520 "," 3121 "
" 2225 ","3226"," 07620 "," 3141 "
" 2225 ",NA,NA," 3143 "
" 2225 ",NA,NA," 3212 "
" 2226 ","2230"," 07110 "," 3151 "
" 2226 ",NA," 07140 ",NA
" 2226 ",NA," 07120 ",NA
" 2226 ",NA," 07190 ",NA
" 2227 ","3223"," 06920 "," 3132 "
" 2229 ","<NA>",NA," 3215 "
" 2311 ","2310"," 13120 "," 4121 "
" 2311 ",NA," 13155 ",NA
" 2311 ",NA," 13125 ",NA
" 2311 ",NA," 13160 ",NA
" 2311 ",NA," 13165 ",NA
" 2311 ",NA," 13170 ",NA
" 2311 ",NA," 13175 ",NA
" 2311 ",NA," 13180 ",NA
" 2311 ",NA," 13185 ",NA
" 2312 ","2320"," 13215 "," 4141 "
" 2312 ",NA," 13260 ",NA
" 2312 ",NA," 13220 ",NA
" 2312 ",NA," 13270 ",NA
" 2312 ",NA," 13275 ",NA
" 2312 ",NA," 13280 ",NA
" 2312 ",NA," 13290 ",NA
" 2313 ","2331"," 13320 "," 4142 "
" 2313 ",NA," 13390 ",NA
" 2314 ","2332"," 13420 "," 4143 "
" 2314 ",NA," 13490 ",NA
" 2320 ","2340"," 13520 "," 4243 "
" 2320 ",NA," 13540 ",NA
" 2320 ",NA," 13530 ",NA
" 2320 ",NA," 13590 ",NA
" 2331 ","2351"," 13920 "," 4122 "
" 2331 ",NA," 13930 "," 4173 "
" 2332 ","2352"," 13950 "," 4173 "
" 2333 ","<NA>"," 19430 "," 4144 "
" 2339 ","2359"," 13990 ",NA
" 2411 ","2411"," 11010 "," 1111 "
" 2411 ",NA," 11020 ",NA
" 2411 ",NA," 11015 ",NA
" 2411 ",NA," 11090 ",NA
" 2412 ","2412"," 19420 "," 1121 "
" 2412 ",NA," 19490 "," 4175 "
" 2412 ",NA," 19450 "," 1122 "
" 2412 ",NA,NA," 4212 "
" 2413 ","3411"," 44140 "," 1112 "
" 2413 ",NA," 44190 "," 2419 "
" 2413 ",NA," 44150 ",NA
" 2419 ","2419"," 19920 "," 4216 "
" 2421 ","2421"," 12110 "," 4112 "
" 2421 ",NA," 12910 ",NA
" 2422 ","2422"," 12210 "," 4111 "
" 2422 ",NA," 12230 ",NA
" 2422 ",NA," 12220 ",NA
" 2429 ","2429"," 12240 "," 4112 "
" 2431 ","2431"," 19130 "," 5112 "
" 2431 ",NA," 19150 "," 5113 "
" 2431 ",NA," 19140 ",NA
" 2431 ",NA," 19190 ",NA
" 2432 ","2432"," 19120 "," 5111 "
" 2432 ",NA," 39520 ",NA
" 2432 ",NA," 19190 ",NA
" 2441 ","2441"," 09010 "," 4171 "
" 2441 ",NA," 09030 "," 4172 "
" 2441 ",NA," 09020 ",NA
" 2442 ","2442"," 19220 "," 4161 "
" 2442 ",NA," 19250 "," 4173 "
" 2442 ",NA," 19240 ",NA
" 2442 ",NA," 19290 ",NA
" 2443 ","2443"," 19260 "," 4162 "
" 2443 ",NA," 19290 ",NA
" 2443 ",NA," 19270 ",NA
" 2444 ","2444"," 19520 "," 4162 "
" 2444 ",NA," 19540 "," 5124 "
" 2444 ",NA," 19530 ",NA
" 2445 ","2445"," 19230 "," 4151 "
" 2446 ","2446",NA," 4152 "
" 2449 ","<NA>",NA," 4173 "
" 2451 ","2451"," 15120 "," 5121 "
" 2451 ",NA," 15940 "," 5123 "
" 2451 ",NA," 15130 "," 5122 "
" 2451 ",NA," 15945 ",NA
" 2451 ",NA," 15915 ",NA
" 2451 ",NA," 15950 ",NA
" 2451 ",NA," 15970 ",NA
" 2451 ",NA," 15990 ",NA
" 2452 ","2452"," 16120 "," 5112 "
" 2452 ",NA," 16150 "," 5211 "
" 2452 ",NA," 16130 "," 5136 "
" 2452 ",NA," 16160 ",NA
" 2452 ",NA," 16140 ",NA
" 2452 ",NA," 16190 ",NA
" 2453 ","2453"," 17120 "," 5132 "
" 2453 ",NA," 17145 "," 5133 "
" 2453 ",NA," 17130 ",NA
" 2453 ",NA," 17150 ",NA
" 2453 ",NA," 17135 ",NA
" 2453 ",NA," 17190 ",NA
" 2454 ","2454"," 17220 "," 5131 "
" 2454 ",NA," 17230 "," 5134 "
" 2455 ","2455"," 17320 "," 5131 "
" 2455 ",NA," 17350 "," 5135 "
" 2455 ",NA," 17330 ",NA
" 2455 ",NA," 17390 ",NA
" 2455 ",NA," 17340 ",NA
" 2455 ",NA," 17430 ",NA
" 2456 ","2419"," 15955 "," 1122 "
" 2460 ","2460"," 14120 "," 4153 "
" 2460 ",NA," 14190 "," 4215 "
" 3111 ","3111"," 01420 "," 2211 "
" 3111 ",NA," 01490 "," 2213 "
" 3111 ",NA," 01430 "," 2212 "
" 3111 ",NA," 03630 "," 2231 "
" 3112 ","3112"," 03110 "," 2248 "
" 3112 ",NA," 03310 "," 2231 "
" 3112 ",NA," 03120 "," 2254 "
" 3112 ",NA," 03320 "," 2253 "
" 3112 ",NA," 03130 ",NA
" 3112 ",NA," 03330 ",NA
